Station,id,modes
Hainault Underground Station,9400ZZLUHLT,tube
Hammersmith (Dist&Picc Line) Underground Station,4900ZZLUHSD1,tube
Hammersmith (H&C Line) Underground Station,9400ZZLUHSC,tube
Hammersmith Stn / H&c and Circle Lines,4900ZZLUHSC1,tube
Hammersmith,HUBHMS,"bus,tube"
Hampstead Underground Station,4900ZZLUHTD1,tube
Hanger Lane Underground Station,4900ZZLUHGR1,tube
Harlesden Underground Station,9400ZZLUHSN,tube
Harlesden,HUBHDN,"bus,overground,tube"
Harrow & Wealdstone Underground Station,9400ZZLUHAW,tube
Harrow & Wealdstone,HUBHRW,"bus,national-rail,overground,tube"
Harrow-on-the-Hill Underground Station,9400ZZLUHOH,tube
Harrow-on-the-Hill,HUBHOH,"bus,national-rail,tube"
Hatton Cross Underground Station,4900ZZLUHNX1,tube
Heathrow Airport Terminal 4,HUBHX4,"bus,elizabeth-line,national-rail,plane,tube"
Heathrow Airport Terminal 5,HUBHX5,"bus,national-rail,plane,tube,elizabeth-line"
Heathrow Terminal 4 Underground Station,9400ZZLUHR4,tube
Heathrow Terminal 5 Underground Station,9400ZZLUHR5,tube
Heathrow Terminals 1-2-3 Underground Station,9400ZZLUHRC2,tube
Heathrow Terminals 2 & 3 Underground Station,4900ZZLUHRC1,tube
Heathrow Terminals 2 & 3,HUBH13,"bus,elizabeth-line,national-rail,plane,tube"
Hendon Central Underground Station,4900ZZLUHCL1,tube
High Barnet Underground Station,4900ZZLUHBT1,tube
High Street Kensington Underground Station,4900ZZLUHSK1,tube
Highbury & Islington Underground Station,9400ZZLUHAI,tube
Highbury & Islington,HUBHHY,"bus,national-rail,overground,tube"
Highgate Underground Station,4900ZZLUHGT1,tube
Hillingdon Underground Station,4900ZZLUHGD1,tube
Holborn Underground Station,4900ZZLUHBN1,tube
Holland Park Underground Station,4900ZZLUHPK1,tube
Holloway Road Underground Station,4900ZZLUHWY1,tube
Hornchurch Underground Station,4900ZZLUHCH1,tube
Hounslow Central Underground Station,4900ZZLUHWC1,tube
Hounslow East Underground Station,4900ZZLUHWE1,tube
Hounslow West Underground Station,4900ZZLUHWT1,tube
Hyde Park Corner Underground Station,4900ZZLUHPC1,tube
Ickenham Underground Station,4900ZZLUICK1,tube
Kennington Underground Station,4900ZZLUKNG1,tube
Kensal Green Underground Station,9400ZZLUKSL,tube
Kensal Green,HUBKNL,"bus,overground,tube"
Kensington (Olympia) Underground Station,9400ZZLUKOY,tube
Kensington (Olympia),HUBKPA,"bus,national-rail,overground,tube"
Kentish Town Underground Station,9400ZZLUKSH,tube
Kentish Town,HUBKTN,"bus,national-rail,tube"
Kenton Underground Station,9400ZZLUKEN,tube
Kenton,HUBKNT,"bus,overground,tube"
Kew Gardens Underground Station,9400ZZLUKWG,tube
Kew Gardens,HUBKWG,"bus,overground,tube"
Kilburn Park Underground Station,4900ZZLUKPK1,tube
Kilburn Underground Station,4900ZZLUKBN1,tube
King's Cross & St Pancras International,HUBKGX,"bus,international-rail,national-rail,tube"
King's Cross St. Pancras Underground Station,9400ZZLUKSX,tube
King's Cross St.Pancras Underground Station,4900ZZLUKSX1,tube
Kingsbury Underground Station,4900ZZLUKBY1,tube
Knightsbridge Underground Station,4900ZZLUKNB1,tube
Ladbroke Grove Underground Station,4900ZZLULAD1,tube
Lambeth North Underground Station,4900ZZLULBN1,tube
Lancaster Gate Underground Station,4900ZZLULGT1,tube
Latimer Road Underground Station,4900ZZLULRD1,tube
Leicester Square Underground Station,4900ZZLULSQ1,tube
Leyton Underground Station,4900ZZLULYN1,tube
Leytonstone Underground Station,4900ZZLULYS1,tube
Liverpool Street Underground Station,4900ZZLULVT3,tube
Liverpool Street,HUBLST,"bus,elizabeth-line,national-rail,overground,tube"
London Bridge Underground Station,4900ZZLULNB1,tube
London Bridge,HUBLBG,"bus,national-rail,tube"
Loughton Underground Station,1500ZZLULGN0,tube
Maida Vale Underground Station,4900ZZLUMVL1,tube
Manor House Underground Station,4900ZZLUMRH1,tube
Mansion House Underground Station,4900ZZLUMSH1,tube
Marble Arch Underground Station,4900ZZLUMBA1,tube
Marylebone Underground Station,9400ZZLUMYB,tube
Marylebone,HUBMYB,"bus,national-rail,tube"
Mile End Underground Station,4900ZZLUMED1,tube
Mill Hill East Underground Station,4900ZZLUMHL1,tube
Monument Underground Station,4900ZZLUMMT1,tube
Moor Park Underground Station,2100ZZLUMPK0,tube
Moorgate Underground Station,9400ZZLUMGT,tube
Moorgate,HUBZMG,"bus,national-rail,tube"
Morden Underground Station,4900ZZLUMDN1,tube
Mornington Crescent Underground Station,4900ZZLUMTC1,tube
Neasden Underground Station,4900ZZLUNDN1,tube
Newbury Park Underground Station,4900ZZLUNBP1,tube
Nine Elms Underground Station,9400ZZNEUGST,tube
North Acton Underground Station,4900ZZLUNAN1,tube
North Ealing Underground Station,4900ZZLUNEN1,tube
North Greenwich Underground Station,4900ZZLUNGW1,tube
North Greenwich,HUBNGW,"bus,cable-car,tube"
North Harrow Underground Station,4900ZZLUNHA1,tube
North Wembley Underground Station,9400ZZLUNWY,tube
North Wembley,HUBNWB,"bus,overground,tube"
Northfields Underground Station,4900ZZLUNFD1,tube
Northolt Underground Station,4900ZZLUNHT1,tube
Northwick Park Underground Station,4900ZZLUNKP1,tube
Northwood Hills Underground Station,4900ZZLUNWH1,tube
Northwood Underground Station,4900ZZLUNOW1,tube
Notting Hill Gate Underground Station,4900ZZLUNHG1,tube
Oakwood Underground Station,4900ZZLUOAK1,tube
Old Street Underground Station,9400ZZLUODS,tube
Old Street,HUBOLD,"bus,national-rail,tube"
Osterley Underground Station,4900ZZLUOSY1,tube
Oval Underground Station,4900ZZLUOVL1,tube
Oxford Circus Underground Station,4900ZZLUOXC1,tube
Paddington (H&C Line) Underground Station,4900ZZLUPAH1,tube
Paddington (H&C Line)-Underground,9400ZZLUPAH,tube
Paddington Underground Station,4900ZZLUPAC1,tube
Paddington,HUBPAD,"bus,elizabeth-line,national-rail,tube"
Park Royal Underground Station,4900ZZLUPKR1,tube
Parsons Green Underground Station,4900ZZLUPSG1,tube
Perivale Underground Station,4900ZZLUPVL1,tube
Piccadilly Circus Underground Station,4900ZZLUPCC1,tube
Pimlico Underground Station,4900ZZLUPCO1,tube
Pinner Underground Station,4900ZZLUPNR1,tube
Plaistow Underground Station,4900ZZLUPLW1,tube
Preston Road Underground Station,4900ZZLUPRD1,tube
Putney Bridge Underground Station,4900ZZLUPYB1,tube
Queen's Park Underground Station,9400ZZLUQPS,tube
Queen's Park,HUBQPW,"bus,national-rail,overground,tube"
Queensbury Underground Station,4900ZZLUQBY1,tube
Queensway Underground Station,4900ZZLUQWY1,tube
Ravenscourt Park Underground Station,4900ZZLURVP1,tube
Rayners Lane Underground Station,4900ZZLURYL1,tube
Redbridge Underground Station,4900ZZLURBG1,tube
Regent's Park Underground Station,4900ZZLURGP1,tube
Richmond Underground Station,9400ZZLURMD,tube
Richmond,HUBRMD,"bus,national-rail,overground,tube"
Rickmansworth Underground Station,2100ZZLURKW0,tube
Rickmansworth,HUBRIC,"bus,national-rail,tube"
Roding Valley Underground Station,4900ZZLURVY1,tube
Royal Oak Underground Station,4900ZZLURYO1,tube
Ruislip Gardens Underground Station,4900ZZLURSG1,tube
Ruislip Manor Underground Station,4900ZZLURSM1,tube
Ruislip Underground Station,4900ZZLURSP1,tube
Russell Square Underground Station,4900ZZLURSQ1,tube
Seven Sisters Underground Station,4900ZZLUSVS1,tube
Seven Sisters,HUBSVS,"bus,national-rail,overground,tube"
Shepherd's Bush (Central Line) Underground Stn,4900ZZLUSBC1,tube
Shepherd's Bush (Central) Underground Station,9400ZZLUSBC,tube
Shepherd's Bush Market Underground Station,4900ZZLUSBM1,tube
Shepherd's Bush,HUBSPB,"bus,national-rail,overground,tube"
Sloane Square Underground Station,4900ZZLUSSQ1,tube
Snaresbrook Underground Station,4900ZZLUSNB1,tube
South Ealing Underground Station,4900ZZLUSEA1,tube
South Harrow Underground Station,4900ZZLUSHH1,tube
South Kensington Underground Station,4900ZZLUSKS1,tube
South Kenton Underground Station,9400ZZLUSKT,tube
South Kenton,HUBSOK,"bus,overground,tube"
South Ruislip Underground Station,9400ZZLUSRP,tube
South Ruislip,HUBSRU,"bus,national-rail,tube"
South Wimbledon Underground Station,4900ZZLUSWN1,tube
South Woodford Underground Station,4900ZZLUSWF1,tube
Southfields Underground Station,4900ZZLUSFS1,tube
Southgate Underground Station,4900ZZLUSGT1,tube
Southwark Underground Station,4900ZZLUSWK1,tube
St John's Wood Underground Station,4900ZZLUSJW1,tube
St. James's Park Underground Station,4900ZZLUSJP1,tube
St. John's Wood Underground Station,9400ZZLUSJW,tube
St. Paul's Underground Station,4900ZZLUSPU1,tube
Stamford Brook Underground Station,4900ZZLUSFB1,tube
Stanmore Underground Station,4900ZZLUSTM1,tube
Stepney Green Underground Station,4900ZZLUSGN1,tube
Stockwell Underground Station,4900ZZLUSKW1,tube
Stonebridge Park Underground Station,9400ZZLUSGP,tube
Stonebridge Park,HUBSBP,"bus,overground,tube"
Stratford Underground Station,9400ZZLUSTD,tube
Stratford,HUBSRA,"bus,dlr,elizabeth-line,international-rail,national-rail,overground,tube"
Sudbury Hill Underground Station,4900ZZLUSUH1,tube
Sudbury Town Underground Station,4900ZZLUSUT1,tube
Swiss Cottage Underground Station,4900ZZLUSWC1,tube
Temple Underground Station,4900ZZLUTMP1,tube
Theydon Bois Underground Station,1500ZZLUTHB0,tube
Tooting Bec Underground Station,4900ZZLUTBC1,tube
Tooting Broadway Underground Station,4900ZZLUTBY1,tube
Tottenham Court Road Underground Station,4900ZZLUTCR3,tube
Tottenham Court Road,HUBTCR,"elizabeth-line,tube,bus"
Tottenham Hale Underground Station,9400ZZLUTMH,tube
Tottenham Hale,HUBTOM,"bus,national-rail,tube"
Totteridge & Whetstone Underground Station,4900ZZLUTAW1,tube
Tower Hill Underground Station,4900ZZLUTWH1,tube
Tufnell Park Underground Station,4900ZZLUTFP1,tube
Turnham Green Underground Station,4900ZZLUTNG1,tube
Turnpike Lane Underground Station,4900ZZLUTPN1,tube
Upminster Bridge Underground Station,4900ZZLUUPB1,tube
Upminster Underground Station,9400ZZLUUPM,tube
Upminster,HUBUPM,"bus,national-rail,overground,tube"
Upney Underground Station,4900ZZLUUPY1,tube
Upton Park Underground Station,4900ZZLUUPK1,tube
Uxbridge Underground Station,4900ZZLUUXB1,tube
Vauxhall Underground Station,4900ZZLUVXL1,tube
Vauxhall,HUBVXH,"bus,national-rail,tube"
Victoria Underground Station,4900ZZLUVIC6,tube
Victoria,HUBVIC,"bus,national-rail,tube"
Walthamstow Central Underground Station,9400ZZLUWWL,tube
Walthamstow Central,HUBWHC,"bus,overground,tube"
Wanstead Underground Station,4900ZZLUWSD1,tube
Warren Street Underground Station,4900ZZLUWRR1,tube
Warwick Avenue Underground Station,4900ZZLUWKA1,tube
Waterloo Underground Station,4900ZZLUWLO1,tube
Waterloo,HUBWAT,"bus,national-rail,tube"
Watford Underground Station,2100ZZLUWAF0,tube
Wembley Central Underground Station,9400ZZLUWYC,tube
Wembley Central,HUBWMB,"bus,national-rail,overground,tube"
Wembley Park Underground Station,4900ZZLUWYP1,tube
West Acton Underground Station,4900ZZLUWTA1,tube
West Brompton Underground Station,9400ZZLUWBN,tube
West Brompton,HUBWBP,"bus,national-rail,overground,tube"
West Finchley Underground Station,4900ZZLUWFN1,tube
West Ham Underground Station,9400ZZLUWHM,tube
West Ham,HUBWEH,"bus,dlr,national-rail,tube"
West Hampstead Station,4900ZZLUWHP1,tube
West Hampstead Underground Station,9400ZZLUWHP,tube
West Hampstead,HUBWHD,"bus,national-rail,overground,tube"
West Harrow Underground Station,4900ZZLUWHW1,tube
West Kensington Underground Station,4900ZZLUWKN1,tube
West Ruislip Underground Station,9400ZZLUWRP,tube
West Ruislip,HUBWRU,"bus,national-rail,tube"
Westbourne Park Underground Station,4900ZZLUWSP1,tube
Westminster Underground Station,4900ZZLUWSM1,tube
Westminster,HUBWSM,"bus,tube"
White City Underground Station,4900ZZLUWCY1,tube
Whitechapel Underground Station,9400ZZLUWPL,tube
Whitechapel,HUBZWL,"bus,elizabeth-line,overground,tube"
Willesden Green Station,9400ZZLUWIG3,tube
Willesden Green Underground Station,4900ZZLUWIG1,tube
Willesden Junction Underground Station,9400ZZLUWJN,tube
Willesden Junction,HUBWIJ,"bus,overground,tube"
Wimbledon Park Underground Station,4900ZZLUWIP1,tube
Wimbledon Underground Station,9400ZZLUWIM,tube
Wimbledon,HUBWIM,"bus,national-rail,tram,tube"
Wood Green Underground Station,4900ZZLUWOG1,tube
Wood Lane Underground Station,4900ZZLUWLA1,tube
Woodford Underground Station,4900ZZLUWOF1,tube
Woodside Park Underground Station,4900ZZLUWOP1,tube
